ID	TARGET	TEXT
1	IphoneSE	【苹果iPhone SE评测：除了5S的外观 其他完美】老实说，在刚拿到这款小苹果的时候，还以为自己穿越了：这货并没有如发布会之前曝光的那样，沿用iPhone 6的模样，而复刻了2013年版的iPhone 5S。如果你想要炫耀新品iPhone手机，这逼可没法儿装。 |苹果iPhone...
2	IphoneSE	【关于iPhone SE你应该知道的20件事】虽然iPhone SE一发布就争论不休，但是也挡不住喜爱它的人对它的购买欲望。观望中或者已经入手？来看看关于iPhone SE你应该知道的20件事？http://t.cn/RqqrIXj
3	IphoneSE	用一块秒杀上代旗舰的CPU，一个老旧的外形设计，加上一个烂屏幕，卖旗舰五分之三的价格，这就是红米note3和iphone se。
4	IphoneSE	下一个活动可能是3000现金 或者 iPhone se 宝宝们更喜欢哪种呢
5	IphoneSE	【玫瑰金不能再赞：9.7吋iPad Pro开箱图赏】今天是iPhone SE和9.7吋iPad Pro首发的日子，相信不少童鞋已经剁剁剁了。小尺寸iPad Pro引入True Tone仿色屏，可以模拟外界光线的颜色。搭载A9X核心，相较12.9吋内存缩水为2GB，配备iPhone 6s同款1200W镜头，四个扬声器堪称广场舞神器。http://t.cn/RqwFfEi
6	IphoneSE	又来了～传iPhone SE爆芯片门，去年底吵得不可开交的苹果i6s芯片门事件，如今iPhone SE的处理器竟也有2种版本，市场传出开发者研究硬体数据发现，iPhone SE有2种不同代号，几乎可以确认就是台积电和三星等2家。开发者研究iPhone SE相关硬体数据文件发现，处理器有S8003和S8000这2种不同代号
7	IphoneSE	比6快，比6s少个压感屏。喜欢小屏幕手机就买了吧。
8	IphoneSE	iphone se 最低2100元 全网通
9	IphoneSE	本来想临睡前看个薛之谦的段子开心开心 毫无防备的手机竟然自动重启了遍 看来要换Iphone se了
10	IphoneSE	【苹果iPhone SE官方拍照样张发布】相信不少人对这款小身材手机的拍照表现感兴趣，现在苹果官网放出了iPhone SE的拍照样张。不过官方样张嘛，你懂得。相信接下来第一时间拿到真机的外媒也会分享关于这款手机更多的信息。……详情点击：http://t.cn/RGkINrv
11	IphoneSE	iphone，4就开始是16g的了，从未出现过不够用的情况！除了当你买了一台三星的16g，开始后可用只有8g才觉得不够用
12	IphoneSE	【记者调查发现：只要60元 iPhone5S可秒变SE】iPhoneSE与5S外观最大区别在于后壳字样。“只要半小时就能‘变身’。”在福州大利嘉开店多年的小陈告诉记者，他做过实验，利用镭射技术，只需几十元就可以任意更改手机后壳上的字样。http://t.cn/RqAKRTg
13	IphoneSE	0424。六点多自然醒。七点多吃早餐，出发考场。中午老同学请吃饭，和他女朋友一起吃猪肚鸡[馋嘴]下午回程车陂停留一下，遇到夹公仔高人，夹到两个大型公仔，让我对夹公仔有了新感悟，高投资，高风险。看iphone SE，手感不错。芋圆糖水，难吃，差评，不热，混水的感觉[拜拜]四月告一段落。计划，前行。
14	IphoneSE	最近才买了新的5s? 你可以免费换iPhone SE：当然，前提是你在苹果官网买的，而且收到货的时间不能超过14天。http://t.cn/RqPwCF9
15	IphoneSE	苹果在向着小屏进发，小米却向着大屏迈进。iphone SE和小米Max，你会买哪个？
16	IphoneSE	今儿个把32G的5s拿去 apple store 折了加钱换了SE， 每个人对手机需求不同！就喜欢能随时塞兜里，还能拿的住的拍照！ 再想想，也许下一部我手里的iphone用得螺丝可能是这部5s去renew的，也是蛮cool的事情，它又去重生了！ 西单大悦城31日最后一部64G的SE被我买走了，这是何等的幸运！
17	IphoneSE	【买了 iPhone SE，还能用蓝牙畅快地打电话吗？】新手机上市基本上都有 Bug 混杂其中，我们已经习以为常了。 http://t.cn/RqxwI2W
18	IphoneSE	妈妈说想换个手机，作为孝顺女儿，给妈妈定了一个iPhone se ,结果妈妈说，女儿用新的苹果，妈妈就用你那台旧的好了！真是好妈妈。。。。。。。可我明明就舍不得我64G的6plus啊～
19	IphoneSE	想的好长远，性能se好点，女生5se应该够用，se的话你要能接受黄屏→_→
20	IphoneSE	猫瞳反馈💕入手iphone se犒劳自己 已经数不清有多少个宝宝靠自己换爱疯换包包换鞋的 不敢说这份兼只能让你一夜暴富 但是改变现状 买自己喜欢的东西就绝对没问题
21	IphoneSE	真的竟然有人买iPhone SE
22	IphoneSE	剛於香港凌晨舉行的Apple發佈會，執行長TIM COOK先從環保、健康兩大人類關注的議題入手，推崇循環再用、回收計劃，以及為用戶的健康製作了一眾Apps。接著便為各支持者帶來tvOS、iOS更新的介紹，至於新產品則有Apple Watch的尼龍錶帶、4吋iPhone SE和9.7吋iPad Pro。Apple Watch的織製尼龍錶帶備有多款
23	IphoneSE	用惯“大屏”手机就一定回不去了吗？对我来说答案是否定的。相反，“小屏”手机这久违的手感是“大屏”永远体会不到的。iPhone SE代表了IOS手机设备里的“小屏”典范。而对于安卓阵营来说，一款兼具性能与颜值的“小屏”典范会出自哪家之手呢？值得期待！
24	IphoneSE	我这用了10天了还是黄
25	IphoneSE	同是新品不同命运: iPhone SE芯片没有降频：再加上运行内存是2GB，这次苹果真的有点令人感到意外。http://t.cn/RGsILsc
26	IphoneSE	苹果想在印度发展? 翻新/老款 iPhone 是关键：在印度市场，16GB 版本的 iPhone SE 价格为 39000 卢比(约合人民币 3800 元)，这个价格不太可能吸引那些对价格敏感的用户。http://t.cn/RqbXmRP
27	IphoneSE	用了不到一个月的SE，今中午就在蛋糕店门口，趁我掏伞的一会儿，被偷了，偷了，了。然后查找iPhone一直是离线。强烈建议iPhone应该关机也要密码，除非没电。
28	IphoneSE	注意了！iPhone 5/5s 或被翻新成iPhone SE：大家在购买新iPhone的时候，切勿贪小便宜。http://t.cn/RqZXjIw
