ID	TARGET	TEXT	STANCE
1	IphoneSE	3月31日，苹果iPhone SE正式开卖，然而这款小屏新机并未出现人们预想的疯抢局面。根据市场分析机构Localytics周一公布的数据，iPhone SE正式上市的这个周末，销量成绩并不算太好。	NONE
2	IphoneSE	当时看到中国预定340万挺不相信，毕竟 6s ／ 6s Plus 全球首周末1300万。今天出乎所有人意料，iPhone SE 真的被（黄牛）低估了	FAVOR
3	IphoneSE	Phone SE，价格感人，但是看这外形，又可以拿着5s出去装逼了。	AGAINST
4	IphoneSE	iPhone SE官网已经要2-3周发货了，也真是一件神奇的事情……	AGAINST
5	IphoneSE	iPhone SE良心价的原因之一：内存只1GB？：如果真的这样，不知道会浇灭多少人马上掏钱购买的热情。	AGAINST
6	IphoneSE	睡了。失望至极，iphone se和5外观几乎没有区别。只是把6s的配置装到了原本的iphone5s里，取消了3D Touch	AGAINST
7	IphoneSE	日前是国行iPhone SE正式发售第一天，很多预定用户拿到了iPhone SE新机。不过，不少网友吐槽，自己拿到的新机居然是黄屏的，“比旁边人的iPhone 5S还要黄”。从网友晒出的图片来看，iPhone SE屏幕部分区域明显发黄，尤其是屏幕的四边。	AGAINST
8	IphoneSE	iPhone SE的外观太让人失望了，也许价格会成吸引点吧	AGAINST
9	IphoneSE	已经等不及想要去看看这款手机了	FAVOR
10	IphoneSE	黄屏门似乎一直没有回应？	AGAINST
11	IphoneSE	听说黄屏，还好我没入坑。你们就当护眼模式吧 	AGAINST
12	IphoneSE	很想尝试下iPhonese……	FAVOR
13	IphoneSE	终于等到小屏苹果了，一直想换手机，6S太大，5S想买个用，但是发现这个了以后就一直等着。	FAVOR
14	IphoneSE	最近几个月一直认为2016年二季度将是智能手机产业的一个中期的景气拐点。苹果应该是看到情形不妙，推出 iPhone SE清理 6s库存部件，顺便向下打压中档安卓机市场。有些今年出货量目标定太高的公司，反应速度和库存管理能力差，会害死一大批自己的上游供应商。	NONE
15	IphoneSE	iPhone se 这价格诚意十足啊，准备入手	FAVOR
16	IphoneSE	我的评论来自SE，好轻，	FAVOR
17	IphoneSE	值得拥有！	FAVOR
18	IphoneSE	很多人挺搞笑的，说苹果就必须要越造越大才有人买，那你怎么不干脆去买个电脑 买iphone6 plus纯属为了显摆有钱的大有人在，不想换plus的，不是买不起，只是喜欢小屏而已。so，苹果出了iPhoneSE怎么就要被淘汰了！中国喜欢小屏的人多着呢	FAVOR
19	IphoneSE	我的今天刚到，周围是有点黄屏，不过不碍事哈哈哈	FAVOR
20	IphoneSE	国人对于手机的用途还没达到必须用大屏的时代，小屏的优势还是很明显的，希望手机厂商都能理性回归吧。	FAVOR
21	IphoneSE	说实话，很讨厌苹果的操作方式，很不方便。安卓一键回主屏，何其方便！苹果的屏幕已经够小了，还弄个小圆点，挡屏幕操作，又影响阅读感觉（逼死强迫症）	AGAINST
22	IphoneSE	系统没得说 苹果做的就是系统 开了很多后台依然流畅 再好的安卓时间长了照样卡成屎	FAVOR
23	IphoneSE	刚开封一天的全新iphoneSE 4300买的 64g 3500到4000卖出 想要的快来找我	NONE
24	IphoneSE	iPhone SE发布第天，中国网民开始对这款4英寸设备进行集体吐槽，大量的微博评论直指iPhone SE外观设计类似之前的iPhone 5s毫无新意。	AGAINST
25	IphoneSE	iphone SE 这配置…这价格…真的吧国产机秒的渣都不剩？还有什么理由不用它？因为没有情怀么？	FAVOR
26	IphoneSE	我的看法，iPhone6造型确实比不上前代作品，现在拿4来看依然时尚好看，双面玻璃反光时尚，但易碎，如果库克能在4的基础下进行改良，相信销售也不会下滑吧。关于SE我相信乔布斯不会出一样的产品	AGAINST
27	IphoneSE	很好的手机，性价比高，比国产好的没话说，国产一年一环 苹果用5年8年没事不卡不迟钝，黑粉们哪个牌子派来的去哪里带着去，有意思吗？不喜欢就不要买，到处乱喷 这就是素质。	FAVOR
28	IphoneSE	可以换的！我一直都是官网买的，重来没出过问题机！	FAVOR
29	IphoneSE	手机中的小钢炮 大屏幕手机可能很多人喜欢 但是无意也会有喜欢小屏幕 高性能的手机 我觉得这是首选 价格上也比较合理	FAVOR
30	IphoneSE	我相信随着iphone5se的发布 iphone5s的销量也会迎来第二春 iphone作为手机行业的风向标 不知道会不会引起其他手机厂商的跟风效仿 一大波小屏手机正在路上。。。	FAVOR
31	IphoneSE	更加的让我们觉得这价格平民化，吸引更多人买买买	FAVOR
32	IphoneSE	不能使用储存扩展卡，是我不选苹果的唯一原因，差评！	AGAINST
33	IphoneSE	硬件升级了 适合小屏用户 精巧 流畅 价格也比较亲民了 要是这个机做成无边框的时候 那就更好了 绝对比6好卖 可惜了 电池续航可以 拍照给力 屏幕效果这些都跟上现在的机子了 就是设计上没有变化 欠缺	AGAINST
34	IphoneSE	没错我爱上了iPhone SE	FAVOR
