ID	TARGET	TEXT	STANCE
1	春节放鞭炮	#不放鞭炮过春节#杭州市城管委发布消息，大年初一早晨，杭州主城区环卫工人共清扫除夕夜市民燃放的烟花爆竹垃圾113吨，比去年同期减少22%。虽然数量有所减少，但113吨还是一个不小的数字。今天杭州雾霾不轻，其实不放鞭炮过春节也挺好嘛～@浙江日报美丽乡村	AGAINST
2	春节放鞭炮	我个人认为，春节不放鞭炮，是民俗被各路不作为所绑架的结果！鞭炮产生的雾霾能和那一根根大烟囱相比吗？每年我都会买上少量的鞭炮和烟花，为的是让女儿长大后还记得，过中国的春节应该是热热闹闹的！为此，我每年都会用少开一个月甚至更长时间的车来交换！那谁，不要总算计咱老百姓的那一点点乐趣！	FAVOR
3	春节放鞭炮	2013，十面霾伏，而今春节又近，又会有许多许多的人放鞭炮烟花，那么大家可不可劝告周围的人少放或不放呢？为了湛蓝的天空，希望所有人可以身体力行，让未来的日子能呼吸到新鲜的空气。@福建师大溪源论坛 @福建师范大学新鲜事 @福师大生科院社联 @人人爱福州	AGAINST
4	春节放鞭炮	#今年过节不放鞭炮#过春节放鞭炮，虽然可以增加过年气氛，但是每年的鞭炮伤人的事件仍旧不少。而且污染环境，制造噪音，浪费金钱。今年过节不放炮。	AGAINST
5	春节放鞭炮	#倡议：人口密集区禁放大炮和高空烟花#又是一年春节到，噼里啪啦的鞭炮声已不绝于耳，年味渐浓。而此时关于鞭炮禁放的争议再起。个人以为，适当的放鞭炮既是对传统的延续和尊重，也是对春节味道的补充。但是一些震耳欲聋的大炮和高空烟花，建议在人口密集区不要燃放。爆竹如果可以分级，则要分级管理！	AGAINST
6	春节放鞭炮	#天津生活#【春节不放鞭炮倡议书大量转发 春节您还放炮吗？】近些天来，本市遭遇多轮重污染天气过程，应急响应连连启动。随着2016年春节临近，一则有关“春节不再燃放鞭炮”的倡议书在网上引发大量网友关注。众多市民呼吁：为我们共同的蓝天，春节不要再燃放鞭炮了。春节您还放炮吗？(天津发布)	AGAINST
7	春节放鞭炮	@i小天天 春节来临，燃放烟花爆竹的噪音、硝烟、纸屑等污染环境，增加火灾隐患。积极提倡过一个低碳、环保、文明、祥和的春节，“拒绝雾霾，少放鞭炮”。不放“开门鞭”、“团圆鞭”。爱护环境、人人响应；少放鞭炮、从我做起。	AGAINST
8	春节放鞭炮	#个性婚纱照#神十上天了，可我发现宇航员怎么都那么矫情，一共上去没几天，可是又是洗澡又是刷牙的。端午节还吃粽子 。这让科学家费了多大劲 ，这是端午节发射的，我看，要是春节发射的话 ，上去还TMD包饺子放鞭炮。国家应该派个懒逼上去 ，像我这样的 ，上去后一睡觉睡五天，不给国家添麻烦！	AGAINST
9	春节放鞭炮	2月3日晚@陈光标 递交改名申请，欲改名为陈光盘，号召大家节约粮食，春节婚礼不放鞭炮改放电子炮。派出所民警表示将在15个工作日之内给他答复。2009年陈光标曾把老婆和孩子名字改为张绿色和陈环保。评：标哥好样的！受标哥启发，我准备改名王(忘)用水，给孩子改名王(忘)用电，彻底省完了	AGAINST
10	春节放鞭炮	想與你分享 : @禪阳真人:我更希望保存春节放鞭炮的传统。坚信节日燃放鞭炮已經幾百年甚至上千年，并非近年空气污染的元凶！！！呼吁不要丢失传统！！！	FAVOR
11	春节放鞭炮	#减少雾霾春节不放烟花# 春节放鞭炮增加过年气息无可厚非，为什么不找个无污染可以增加过年的气氛的物品代替鞭炮 详情:|减少雾霾春...	AGAINST
12	春节放鞭炮	2014年1月30日，是中国传统的春节，举国欢庆，万家团圆。学习了弘宇道德教育，摒弃封建迷信，不放鞭炮，不烧任何物品，既省钱又不污染空气。响应国家号召文明祭祀，读诵圣贤经典！过一个欢乐祥和、低碳环保的团圆年！弘宇公司2014年春节期间主要活动安排。http://t.cn/8FxfvIW	AGAINST
13	春节放鞭炮	明天是上海的财神节，从现在开始鞭炮声音就此起彼伏了，比春节放鞭炮还积极。商家都想图个好彩头，会格外的卖力。	NONE
14	春节放鞭炮	@新华网评 过春节不放鞭炮也能过得很好，采取其他方式也能是春节过得有意义。对环境有影响、对社会有害的民俗就应该改。	AGAINST
15	春节放鞭炮	在大家吃好吃的欢度春节的时候，在大家庆祝春节放鞭炮的时候，别忘了角落里还有他们等着您的食物。这几天猫妈经常出去喂他们，狗们吃完就看着猫妈回家。第二天他们就知道等在奶奶家门口要吃的了。	FAVOR
16	春节放鞭炮	“呼吸不到清新空气，春节不会快乐。”“为了让大家少呼吸有毒空气，恳请您春节期间不要燃放烟花爆竹” 今天下午，女儿和五个小伙伴冒着风雪在青泥洼步行街自愿进行环保义务宣传。希望热心环境保护的朋友能支持一下孩子们的行动，今年春节不放鞭炮。	AGAINST
17	春节放鞭炮	@大连电台交通广播 说到春节燃放鞭炮明哥支持不放，看看现在这天都恒么样了？？？还放鞭炮，脑额有病啊？噪音扰民空气污染百害无一利这和老爷们公共场合抽烟一样！	AGAINST
18	春节放鞭炮	#陈光标再次借势光盘行动成功营销#饱受争议的陈光标再一次站到了争议的风口浪尖。2月3日晚，陈光标向派出所递交申请，欲改名“陈光盘”，以此号召大家节约粮食，节约用水，节约用电，春节婚礼不放鞭炮等。此前，陈光标曾对外表示，自己已改名陈低碳，妻子改名张绿色，两个儿子改名陈环保和陈环境。	AGAINST
19	春节放鞭炮	春节临近，今天祭灶日是个小年，楼下放鞭炮，已有点年味了。中华民族的老传统：过年：主要是举家团圆，远在外地的子孙，纷纷奔回家门。这份亲情是任何国家也体会不到的。父母则忙于打扫房屋，采购鱼肉、蔬菜。订购年货。为过个丰富的年夜饭而准备着。我和老伴予林先给大家拜个早年。祝大家春节快乐！	FAVOR
