ID	TARGET	TEXT	STANCE
1	春节放鞭炮	#北京身边事#【猴年春节遇重污染天气禁售烟花爆竹】北京市安监局发布2016年春节烟花爆竹销售（储存）安全管理工作方案。方案明确，猴年春节五环路内烟花爆竹销售时间为2016年2月3日至2016年2月12日，（农历腊月二十五日至次年正月初五日）。如遇空气重污染橙色、红色预警将禁售烟花爆竹。	UNKNOWN
2	春节放鞭炮	#孝感城事#【禁止在广场及周边燃放烟花爆竹】为给市民创造一个安全祥和的节日氛围，市园林局将在猴年春节、元宵节期间对人民广场及周边开展环境卫生秩序综合整治。据了解，从即日起到2月23日期间，市园林局将安排专班值守，严禁市民在人民广场燃放烟花爆竹和孔明灯。	UNKNOWN
3	春节放鞭炮	感谢四面八方的鞭炮声！至少时时刻刻提醒我现在是春节。除了有一个礼拜的假期完全没有哪一处是感觉到是春节。哎！啥事儿没干。一年又过去了。还是新年快乐吧～	UNKNOWN
4	春节放鞭炮	今年春节期间火灾频发，损失惨重，再一次引发了是否应该禁止燃放烟花爆竹的争议。燃放烟花爆竹禁而不止，一方面是一种迫切的文化需要，一方面也暴露出执政能力的问题。其实，决不是烟花爆竹的错，而关涉人的素质和监管能力。	UNKNOWN
5	春节放鞭炮	春节期间的各种民俗表演离我们已经越来越少远了，没有鞭炮、锣鼓，没有家里团年饭的味道，年到底还有多少意义。日报赵叶秋@荆州日报 |荆州·关沮...	UNKNOWN
6	春节放鞭炮	春节 清明 端午 中秋 四个节日是中国传统的节日 端午节具有弘扬热爱祖国 热爱人民的伟大爱国主义精神，划龙舟体现团结向上 勇于进取的精神，增进亲情 密切人际关系 促进人与自然和谐。 |福州·上街...	UNKNOWN
7	春节放鞭炮	#我就记一个暑假可能会填的脑洞# 大概是【魔都妖怪设定集】之类的，估计都是一些非常现代的妖怪……【堵】，堵车的堵，会在魔都一些固定路线游荡，发飙的时候能让大片区域的车辆半小时开不出10米。然而春节假期是它力量最弱的时候……【自动扶梯妖】，传闻是由死与自动扶梯故障的人怨念而形成，热衷于	UNKNOWN
8	春节放鞭炮	【山西晋城“黑老大”高调出狱 自导自演再被批捕】近日，山西省公安厅发布消息，所谓“社会黑老大”高调出狱视频事件，其实是由程幼泽和其家人、朋友自导自演的一场“闹剧”，是由其司机按照程授意找婚庆公司策划，安排47辆车和多名群众演员，在监狱门口夹道“欢迎”并燃放鞭炮。 |秒拍视频	UNKNOWN
9	春节放鞭炮	关于马航失踪飞机的空中解体或直接坠海问题，美国设备未发现飞机爆炸和导弹击毁并并不见得完全可信，全球的夜晚，有许多城市灯光，海上也有若干船只作业，飞机低空瞬间爆炸，美国的设备也未必能捕捉到！地球上任何一个地点用炸药开山开矿，乃至中国人春节放鞭炮，美国的设备都能全部拍摄得一清二楚？	UNKNOWN
10	春节放鞭炮	柚子“长胡须“了？年前买了只柚子，放着果盘，好看吧，春节到现在6个月了，神奇的柚子君。	UNKNOWN
11	春节放鞭炮	【春节未至 已有男童玩鞭炮伤眼】春节临近，提醒家长：10类不适宜孩子燃放的烟花爆竹分别是：二踢脚、大地红、组合烟花、万响礼炮、魔术弹、蹿天猴、啄木鸟、全红炮、砸鞭、地面礼花。	UNKNOWN
12	春节放鞭炮	第一个没有鞭炮的春节	UNKNOWN
13	春节放鞭炮	突然好想我女朋友 ，也不知道她吃没吃饭，今天上班了没，累不累 ，过节饺子吃了没，春节放假多久，忙不忙，住在哪里 ，多大了，叫什么	UNKNOWN
14	春节放鞭炮	#暖暖新年?护航平安##警方提醒#春节来临，燃放鞭炮一定要保持燃放距离： 燃放的时我们一定要保持好燃放距离，不可用手拿着爆竹点着之后再从手中扔掉，这样做是很危险的，很有可能一个爆竹的生产不当，或者我们的精力不集中，都有可能给自己带来痛苦，所以我们一定要把爆竹放在地上燃放！	UNKNOWN
15	春节放鞭炮	今年春节的鞭炮没有往年猛烈，量减时少，可喜可贺！面对谁也躲不过的雾霾，民众开始觉醒！ 我在这里:|黄村	UNKNOWN
16	春节放鞭炮	#网上送平安，平安度春节#五、严防易燃易爆品上车。春运期间正值春节和元宵节前后，市民都会燃放烟花爆竹以此烘托节日气氛，广大车主在行车前要检查车内是否存放有烟花爆竹，杜绝易燃易爆危险品上车，特别是有孩子的家长，对此要多加留意，千万不能掉以轻心。	UNKNOWN
